superkingdom;phylum;class;order;family;genus;species;;Eau18S;Normalisation (%);Sol18S;Normalisation (%)
ASV_775;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Spathaspora;[Candida] lyxosophila;0;;0;
ASV_782;Eukaryota;Apicomplexa;Conoidasida;Eugregarinorida;Lecudinidae;Psychodiella;Psychodiella chagasi;0;;0;
ASV_1425;Eukaryota;Streptophyta;Magnoliopsida;Ericales;Mitrastemonaceae;Mitrastemon;Mitrastemon yamamotoi;0;;0;
ASV_589;Eukaryota;Ciliophora;Oligohymenophorea;Philasterida;Uronematidae;Homalogastra;Homalogastra setosa;0;;29;
ASV_7;Eukaryota;Basidiomycota;Tremellomycetes;Trichosporonales;Trichosporonaceae;Apiotrichum;NA;0;;17;
ASV_451;Eukaryota;NA;Synurophyceae;Synurales;Mallomonadaceae;Mallomonas;Mallomonas insignis;55;;40;
ASV_772;Eukaryota;Chytridiomycota;Chytridiomycetes;Chytridiales;Chytridiaceae;Phlyctochytrium;Phlyctochytrium aureliae;0;;91;
ASV_828;Eukaryota;Chytridiomycota;Chytridiomycetes;Chytridiales;Chytriomycetaceae;Entophlyctis;Entophlyctis confervae-glomeratae;0;;0;
ASV_843;Eukaryota;Apicomplexa;Aconoidasida;Piroplasmida;Babesiidae;Babesia;Babesia major;0;;6;
ASV_1193;Eukaryota;Ascomycota;Sordariomycetes;Hypocreales;NA;NA;NA;0;;0;
ASV_869;Eukaryota;Chlorophyta;Trebouxiophyceae;Chlorellales;Oocystaceae;Hemichloris;Hemichloris antarctica;6;;0;
ASV_873;Eukaryota;NA;NA;Aquavolonida;NA;Aquavolon;Aquavolon dientrani;0;;0;
ASV_763;Eukaryota;Ciliophora;Litostomatea;Haptorida;Dileptidae;Dileptus;Dileptus terrenus;0;;63;
ASV_831;Eukaryota;Apicomplexa;Conoidasida;Eucoccidiorida;Eimeriidae;Eimeria;Eimeria variabilis;0;;0;
ASV_890;Eukaryota;Streptophyta;Magnoliopsida;Apiales;Araliaceae;Panax;NA;0;;0;
ASV_893;Eukaryota;Ciliophora;Colpodea;Colpodida;NA;NA;NA;0;;0;
ASV_894;Eukaryota;Nematoda;Chromadorea;Rhabditida;Cephalobidae;NA;NA;0;;0;
ASV_847;Eukaryota;Tubulinea;Echinamoebida;NA;Echinamoebidae;Echinamoeba;Echinamoeba exundans;0;;53;
ASV_399;Eukaryota;NA;Choanoflagellata;Craspedida;Salpingoecidae;Hartaetosiga;Hartaetosiga minima;0;;8;
ASV_919;Eukaryota;Ascomycota;Sordariomycetes;Sordariales;Chaetomiaceae;NA;NA;0;;25;
ASV_1289;Eukaryota;NA;Dinophyceae;Peridiniales;Podolampadaceae;Lessardia;Lessardia elongata;0;;0;
ASV_937;Eukaryota;Porifera;Demospongiae;Poecilosclerida;Cladorhizidae;Asbestopluma;Asbestopluma pennatula;0;;0;
ASV_1239;Eukaryota;NA;Centroplasthelida;Pterocystida;NA;Oxnerella;Oxnerella micra;0;;0;
ASV_1341;Eukaryota;Tubulinea;Elardia;Euamoebida;Hartmannellidae;Ptolemeba;Ptolemeba noxubium;7;;12;
ASV_310;Eukaryota;Nematoda;Chromadorea;Plectida;Plectidae;Plectus;Plectus aquatilis;0;;42;
ASV_2009;Eukaryota;Rhodophyta;Florideophyceae;Gigartinales;Catenellopsidaceae;Catenellopsis;Catenellopsis oligarthra;0;;0;
ASV_166;Eukaryota;Chlorophyta;Trebouxiophyceae;Prasiolales;Stichococcaceae;Stichococcus;Stichococcus bacillaris;6;;149;
ASV_969;Eukaryota;NA;Pinguiophyceae;Pinguiochrysidales;Pinguiochrysidaceae;Polypodochrysis;Polypodochrysis teissieri;0;;0;
ASV_230;Eukaryota;Chytridiomycota;Chytridiomycetes;Rhizophydiales;Terramycetaceae;Boothiomyces;Boothiomyces macroporosus;284;;27;
ASV_784;Eukaryota;Ascomycota;Dothideomycetes;Tubeufiales;Tubeufiaceae;Kevinhydea;Kevinhydea brevistipitata;0;;38;
ASV_1258;Eukaryota;Porifera;Demospongiae;Dictyoceratida;Dysideidae;Lamellodysidea;Lamellodysidea herbacea;0;;0;
ASV_706;Eukaryota;Ciliophora;Phyllopharyngea;Chlamydodontida;Chilodonellidae;Phascolodon;Phascolodon vorticella;0;;61;
ASV_512;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Kurtzmaniella;Kurtzmaniella natalensis;0;;0;
ASV_1152;Eukaryota;NA;Choanoflagellata;Craspedida;Salpingoecidae;Salpingoeca;Salpingoeca helianthica;5;;0;
ASV_213;Eukaryota;Ciliophora;Heterotrichea;Heterotrichida;Blepharismidae;Blepharisma;Blepharisma americanum;0;;44;
ASV_269;Eukaryota;NA;Choanoflagellata;Craspedida;Salpingoecidae;Codosiga;Codosiga hollandica;10;;299;
ASV_769;Eukaryota;Ciliophora;Litostomatea;Haptorida;Spathidiidae;Balantidion;Balantidion pellucidum;0;;80;
ASV_1086;Eukaryota;Apicomplexa;Conoidasida;Eucoccidiorida;Eimeriidae;Eimeria;Eimeria nemethi;0;;0;
ASV_1651;Eukaryota;Mucoromycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Mortierella;Mortierella sarnyensis;0;;0;
ASV_12;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;NA;NA;7;;9;
ASV_730;Eukaryota;Oomycota;NA;Pythiales;Pythiaceae;Globisporangium;Globisporangium glomeratum;10;;0;
ASV_1114;Eukaryota;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;NA;NA;0;;0;
ASV_1310;Eukaryota;Tubulinea;Elardia;Euamoebida;Hartmannellidae;Saccamoeba;Saccamoeba limax;20;;72;
ASV_2100;Eukaryota;Tubulinea;Elardia;Leptomyxida;Flabellulidae;Paraflabellula;Paraflabellula hoguae;0;;5;
ASV_1283;Eukaryota;Olpidiomycota;Olpidiomycetes;Olpidiales;Olpidiaceae;Olpidium;Olpidium brassicae;0;;8;
ASV_1424;Eukaryota;NA;NA;Apusomonadida;Apusomonadidae;Apusomonas;Apusomonas proboscidea;0;;12;
ASV_120;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Debaryomyces;NA;11;;0;
ASV_1068;Eukaryota;Basidiomycota;Microbotryomycetes;NA;Chrysozymaceae;Yunzhangia;Yunzhangia sonckii;0;;5;
ASV_1189;Eukaryota;Chytridiomycota;Monoblepharidomycetes;Monoblepharidales;Gonapodyaceae;Gonapodya;Gonapodya polymorpha;0;;0;
ASV_280;Eukaryota;Chlorophyta;Trebouxiophyceae;Prasiolales;Koliellaceae;Raphidonema;Raphidonema nivale;14;;47;
ASV_323;Eukaryota;NA;Chrysophyceae;Chromulinales;Paraphysomonadaceae;Paraphysomonas;Paraphysomonas bandaiensis;181;;12;
ASV_622;Eukaryota;Cnidaria;Anthozoa;Scleralcyonacea;Briareidae;Briareum;Briareum asbestinum;0;;34;
ASV_1204;Eukaryota;NA;Cryptophyceae;Kathablepharidacea;Katablepharidaceae;Leucocryptos;Leucocryptos marina;0;;29;
ASV_1213;Eukaryota;Evosea;Variosea;NA;NA;NA;NA;0;;0;
ASV_1215;Eukaryota;Basidiomycota;Agaricomycetes;Agaricales;NA;NA;NA;0;;12;
ASV_141;Eukaryota;Ascomycota;NA;NA;NA;Novakomyces;Novakomyces olei;0;;22;
ASV_444;Eukaryota;NA;Filasterea;NA;NA;Pigoraptor;Pigoraptor chileana;0;;0;
ASV_1132;Eukaryota;Zoopagomycota;NA;Ramicandelaberales;Ramicandelaberaceae;Ramicandelaber;Ramicandelaber fabisporus;0;;0;
ASV_1131;Eukaryota;Ascomycota;Sordariomycetes;Ophiostomatales;Ophiostomataceae;Raffaelea;NA;0;;5;
ASV_1257;Eukaryota;Cnidaria;Anthozoa;Spirularia;Cerianthidae;Ceriantheopsis;Ceriantheopsis americana;0;;0;
ASV_1260;Eukaryota;NA;Synurophyceae;Ochromonadales;Ochromonadaceae;Poterioochromonas;Poterioochromonas malhamensis;0;;0;
ASV_1263;Eukaryota;Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmaceae;Scenedesmus;Scenedesmus arcuatus;0;;32;
ASV_167;Eukaryota;Chytridiomycota;Chytridiomycetes;Spizellomycetales;Powellomycetaceae;Fimicolochytrium;NA;0;;0;
ASV_282;Eukaryota;Nematoda;Chromadorea;Rhabditida;Metastrongylidae;Aelurostrongylus;Aelurostrongylus abstrusus;0;;121;
ASV_1280;Eukaryota;Porifera;Hexactinellida;Hexactinosida;Euretidae;Conorete;Conorete pourtalesi;0;;0;
ASV_1287;Eukaryota;Ciliophora;Oligohymenophorea;Thigmotrichida;Ancistridae;Protophyra;Protophyra ovicola;0;;0;
ASV_448;Eukaryota;Chytridiomycota;Chytridiomycetes;Cladochytriales;Nowakowskiellaceae;Nowakowskiella;Nowakowskiella elegans;124;;29;
