tax_id,superkingdom,phylum,class,order,family,genus,species,CMM-16S_S43_L001_R1,Compost-MB-16S_S42_L001_R1,Compost-R-16S_S41_L001_R1,Eau-GT-16S_S38_L001_R1,JusPatate-XT-16S_S40_L001_R1,Sol-GT-16S_S39_L001_R1
1707,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Cellulomonadaceae,Cellulomonas,,134,52,0,0,0,100
17,Bacteria,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Methylophilaceae,Methylophilus,Methylophilus methylotrophus,0,0,0,284,0,0
469,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,,0,0,0,283,0,0
1217799,Bacteria,Chloroflexota,Dehalococcoidia,,,Dehalogenimonas,Dehalogenimonas alkenigignens,240,0,0,0,0,42
1866885,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,,158,99,0,0,0,24
75682,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,,,0,0,0,280,0,0
1324935,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Limisphaerales,Limisphaeraceae,Limisphaera,Limisphaera ngatamarikiensis,98,0,0,67,0,113
1002870,Bacteria,Actinomycetota,Rubrobacteria,Gaiellales,Gaiellaceae,Gaiella,Gaiella occulta,145,0,0,6,0,126
477666,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides graminisolvens,0,0,0,276,0,0
1236,Bacteria,Pseudomonadota,Gammaproteobacteria,,,,,223,0,0,0,0,52
1002870,Bacteria,Actinomycetota,Rubrobacteria,Gaiellales,Gaiellaceae,Gaiella,Gaiella occulta,272,0,0,0,0,0
1324350,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter equi,0,0,0,270,0,0
1116389,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Devosiaceae,Devosia,Devosia insulae,0,269,0,0,0,0
338969,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,Rhodoferax ferrireducens,0,0,0,269,0,0
1217799,Bacteria,Chloroflexota,Dehalococcoidia,,,Dehalogenimonas,Dehalogenimonas alkenigignens,268,0,0,0,0,0
2057,Bacteria,Thermomicrobiota,Thermomicrobia,Sphaerobacterales,Sphaerobacteraceae,Sphaerobacter,Sphaerobacter thermophilus,267,0,0,0,0,0
717856,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Agromyces,Agromyces iriomotensis,193,0,0,0,0,74
588673,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,,,,0,267,0,0,0,0
1074233,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Lysinimonas,Lysinimonas soli,0,267,0,0,0,0
167645,Bacteria,Pseudomonadota,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Propionivibrio,Propionivibrio limicola,0,0,0,267,0,0
2014610,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Roseisolibacter,Roseisolibacter agri,0,266,0,0,0,0
1331058,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Ilumatobacter,Ilumatobacter fluminis,264,0,0,0,0,0
51173,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Ureibacillus,Ureibacillus thermosphaericus,263,0,0,0,0,0
356,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,,,,180,0,0,0,0,83
1132444,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylocystaceae,Methylocystis,Methylocystis rosea,0,263,0,0,0,0
1235591,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,,Pseudorhodoplanes,Pseudorhodoplanes sinuspersici,104,0,0,0,0,158
475069,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Mesorhizobium,Mesorhizobium camelthorni,261,0,0,0,0,0
1883,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,,127,0,0,0,0,134
433654,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Nocardioides,Nocardioides tritolerans,261,0,0,0,0,0
513050,Bacteria,Dictyoglomota,Dictyoglomia,Dictyoglomales,Dictyoglomaceae,Dictyoglomus,Dictyoglomus turgidum,259,0,0,0,0,0
1331058,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Ilumatobacter,Ilumatobacter fluminis,259,0,0,0,0,0
349316,Bacteria,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Luedemannella,Luedemannella flava,191,0,0,0,0,68
1331058,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Ilumatobacter,Ilumatobacter fluminis,78,0,0,0,0,181
543632,Bacteria,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Actinoplanes,Actinoplanes subtropicus,258,0,0,0,0,0
374,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,,0,258,0,0,0,0
2057,Bacteria,Thermomicrobiota,Thermomicrobia,Sphaerobacterales,Sphaerobacteraceae,Sphaerobacter,Sphaerobacter thermophilus,254,0,0,0,0,0
1707,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Cellulomonadaceae,Cellulomonas,,104,102,0,13,0,34
1742990,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Paeniglutamicibacter,,4,182,0,54,0,13
89014,Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia luti,0,0,0,253,0,0
28211,Bacteria,Pseudomonadota,Alphaproteobacteria,,,,,221,0,0,0,0,31
162491,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Cellulomonadaceae,Oerskovia,,34,164,0,0,0,54
642,Bacteria,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,,0,0,0,251,0,0
912552,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Conexibacteraceae,Conexibacter,Conexibacter arvalis,245,0,0,5,0,0
1883,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,,114,38,0,7,0,90
